Timestamp,CurrentRPM,RotaryCurrentRPM,CurrentDirection,FeedbackRPM_Left,FeedbackRPM_Right,LeftBtn,RightBtn,ModeSwitch,DirectionBtn,RotarySwitch,SafetyPin,IsSafeStop,Mode,BatteryVoltage,Current,SOC,MaxVoltage,MaxCells,MinVoltage,MinCells,MaxTemp,MaxTempCell,MinTemp,MinTempCell,ChargeDisStatus,ChargeMOSStatus,DisMOSStatus,BMSLife,ResidualCapacity
2025-09-30 12:35:36,1345.0,0.0,1,0.0,0.0,0,0,0,0,0,0,True,0,0.0,0.0,0.0,,,,,,,,,,,,,
2025-09-30 12:35:38,1345.0,0.0,1,0.0,0.0,0,0,0,0,0,0,True,0,23.670000000000005,0.0,26.775,3.294,16,3.289,2,25,2,24,1,,,,,
2025-09-30 12:35:40,1345.0,0.0,1,0.0,0.0,0,0,0,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:42,1345.0,0.0,1,0.0,0.0,0,0,0,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:44,1345.0,0.0,1,0.0,0.0,0,0,0,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:46,1345.0,0.0,1,0.0,0.0,0,0,0,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:48,1345.0,0.0,1,0.0,0.0,0,0,1,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:50,1345.0,0.0,1,0.0,0.0,0,0,0,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:52,1345.0,0.0,1,38.1,0.0,0,0,0,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:54,1345.0,0.0,1,31.75,13.9,0,0,1,0,0,0,True,0,52.60000000000001,0.0,59.5,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:56,1267.0,0.0,1,93.0,118.0,0,0,1,0,0,0,True,0,52.63000000000002,-0.05,60.55,3.294,16,3.289,2,25,2,24,1,0,0,1,93,26352
2025-09-30 12:35:58,1061.55,0.0,1,155.0,69.0,0,0,1,0,0,0,True,0,52.60000000000001,0.0,59.5,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
2025-09-30 12:36:00,1018.45,0.0,1,155.0,69.0,0,0,1,0,0,0,True,0,52.60000000000001,0.0,59.5,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
2025-09-30 12:36:02,1005.05,0.0,1,131.75,93.4,0,0,1,0,0,0,True,0,52.60000000000001,0.0,59.5,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
2025-09-30 12:36:04,1005.45,0.0,1,146.0,13.0,0,0,1,0,0,0,True,0,52.60000000000001,0.0,59.5,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
2025-09-30 12:36:06,998.5,0.0,1,66.4,100.8,0,0,1,0,0,0,True,0,52.60000000000001,0.0,59.5,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
2025-09-30 12:36:08,1000.85,0.0,1,23.2,28.8,0,0,1,0,0,0,True,0,52.69000000000001,-0.24,62.65,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
2025-09-30 12:36:10,1006.5,0.0,1,0.0,0.0,0,0,1,0,0,0,True,0,52.80999999999999,-0.41,66.85,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
2025-09-30 12:36:12,1009.3,0.0,1,0.0,0.0,0,0,1,0,0,0,True,0,52.69,-0.15,62.65,3.293,16,3.289,2,24,1,24,1,0,0,1,93,26352
