Timestamp,CurrentRPM,RotaryCurrentRPM,CurrentDirection,FeedbackRPM_Left,FeedbackRPM_Right,LeftBtn,RightBtn,ModeSwitch,DirectionBtn,RotarySwitch,SafetyPin,IsSafeStop,Mode,BatteryVoltage,Current,SOC,MaxVoltage,MaxCells,MinVoltage,MinCells,MaxTemp,MaxTempCell,MinTemp,MinTempCell,ChargeDisStatus,ChargeMOSStatus,DisMOSStatus,BMSLife,ResidualCapacity
2025-09-23 11:18:37,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:38,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:38,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:38,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:38,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.800000000000004,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:38,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.800000000000004,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:39,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.800000000000004,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:39,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.800000000000004,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:39,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.800000000000004,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:39,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:39,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:40,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:40,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:40,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:40,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
2025-09-23 11:18:40,1345,1345,1,0,0,0,0,1,0,1,1,False,0,51.900000000000006,-10.8,59.0,3.27,10,3.239,2,23,1,23,1,2,1,1,92,26165
